"Région,Département,""COM ARRT/VILLE"",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION"
"KAOLACK,NIORO,""AR. MEDINA-SABAKH"",NGAYENE,,,,,17179,18551,35730"
"KAOLACK,NIORO,""AR. PAOSKOTO"",""GAINTE KAYE"",,,,,21400,19622,41022"
"KAOLACK,NIORO,""AR. PAOSKOTO"",PAOSKOTO,,,,,12433,12555,24988"
"KAOLACK,NIORO,""AR. PAOSKOTO"",POROKHANE,,,,,23547,23259,46806"
"KAOLACK,NIORO,""AR. PAOSKOTO"",""TAÏBA NIASSENE"",,,,,19239,18795,38034"
"KAOLACK,NIORO,""AR. PAOSKOTO"",DABALY,,,,,8127,7127,15254"
"KAOLACK,NIORO,""AR. PAOSKOTO"",""DAROU SALAM"",,,,,17853,18308,36161"
"KAOLACK,NIORO,""AR. WACK-NGOUNA"",""KEUR MABA DIAKHOU"",,,,,19010,17772,36782"
"KAOLACK,NIORO,""AR. WACK-NGOUNA"",""NDRAME ESCALE"",,,,,15187,14911,30098"
"KAOLACK,NIORO,""AR. WACK-NGOUNA"",""WACK NGOUNA"",,,,,24977,23924,48901"
"KAOLACK,NIORO,""AR. WACK-NGOUNA"",""KEUR MANDONGO"",,,,,6778,6710,13488"
"KAOLACK,NIORO,""AR. WACK-NGOUNA"",""COM. KEUR MADIABEL"",,,,,8141,8410,16551"
"KAOLACK,GUINGUINEO,""COM. GUINGUINEO"",""COM. GUINGUINEO"",,,,,9820,10520,20340"
"KAOLACK,GUINGUINEO,""AR. MBADAKHOUNE"",MBADAKHOUNE,,,,,14032,11377,25409"
"KAOLACK,GUINGUINEO,""AR. MBADAKHOUNE"",NDIAGO,,,,,6943,6136,13079"
"KAOLACK,GUINGUINEO,""AR. MBADAKHOUNE"",""NGATHIE NAOUDE"",,,,,9774,9163,18937"
"KAOLACK,GUINGUINEO,""AR. MBADAKHOUNE"",""KHELCOM BIRAME"",,,,,8800,8065,16865"
"KAOLACK,GUINGUINEO,""AR. MBADAKHOUNE"",""COM. FASS"",,,,,3049,3404,6453"
"KAOLACK,GUINGUINEO,""AR. NGUELOU"",GAGNICK,,,,,5257,5015,10272"
"KAOLACK,GUINGUINEO,""AR. NGUELOU"",NGUELOU,,,,,5877,5447,11324"
